"field_path","count","percent_of_records","description"
"message.usage.service_tier",9948,21.987932,"Token/service usage accounting for this assistant message."
"requestId",9941,21.972460,"Backend request identifier."
"message.usage.inference_geo",9280,20.511460,"Token/service usage accounting for this assistant message."
"data.elapsedTimeSeconds",6980,15.427801,"Execution duration in seconds."
"data.fullOutput",6980,15.427801,"Full command output snapshot."
"data.output",6980,15.427801,"Incremental command output content."
"data.totalLines",6980,15.427801,"Line count reported by streamed command output."
"data.timeoutMs",4847,10.713260,"Timeout in milliseconds for operation."
"message.content[].id",4809,10.629269,"Tool-use content block identifier."
"message.content[].input",4809,10.629269,"Tool invocation input payload (shape varies by tool)."
"message.content[].name",4809,10.629269,"Tool name for tool_use blocks."
"message.content[].content",4773,10.549698,"Tool result content payload."
"message.content[].tool_use_id",4773,10.549698,"Tool invocation identifier referenced by a tool result."
"sourceToolAssistantUUID",4773,10.549698,"Assistant UUID that originated a tool use/result."
"toolUseResult",4773,10.549698,"Serialized local tool execution result payload."
"message.content[].caller",4712,10.414871,"Origin metadata for a tool invocation."
"message.content[].caller.type",4712,10.414871,"Origin metadata for a tool invocation."
"message.content[].text",4278,9.455606,"Plain text content from a message block."
"message.content[].input.description",2551,5.638441,"Tool invocation input payload (shape varies by tool)."
"data.agentId",2472,5.463829,"Background agent identifier."
"data.message",2472,5.463829,"Embedded message record within progress events."
"data.message.message",2472,5.463829,"Embedded message record within progress events."
"data.message.message.content",2472,5.463829,"Embedded message record within progress events."
"data.message.message.content[].type",2472,5.463829,"Embedded message record within progress events."
"data.message.message.role",2472,5.463829,"Embedded message record within progress events."
"data.message.timestamp",2472,5.463829,"Embedded message record within progress events."
"data.message.type",2472,5.463829,"Embedded message record within progress events."
"data.message.uuid",2472,5.463829,"Embedded message record within progress events."
"data.normalizedMessages",2472,5.463829,"Normalized message payload emitted by agent progress."
"data.prompt",2472,5.463829,"Prompt text for background/agent task."
"message.content[].is_error",2083,4.604027,"Flag indicating tool result represents an error."
"message.content[].input.command",2017,4.458148,"Tool invocation input payload (shape varies by tool)."
"subtype",1855,4.100082,"Subtype field for system events."
"toolUseResult.interrupted",1698,3.753067,"Serialized local tool execution result payload."
"toolUseResult.isImage",1698,3.753067,"Serialized local tool execution result payload."
"toolUseResult.stderr",1698,3.753067,"Serialized local tool execution result payload."
"toolUseResult.stdout",1698,3.753067,"Serialized local tool execution result payload."
"isSnapshotUpdate",1647,3.640342,"Whether file-history snapshot is incremental."
"messageId",1647,3.640342,"Message identifier referenced by snapshot/system records."
"snapshot",1647,3.640342,"File-history snapshot payload."
"snapshot.messageId",1647,3.640342,"Message identifier that produced this snapshot."
"snapshot.timestamp",1647,3.640342,"Timestamp of file-history snapshot."
"snapshot.trackedFileBackups",1647,3.640342,"Map of file backup entries captured at snapshot time."
"snapshot.trackedFileBackups.{path}",1632,3.607188,"Tracked backup metadata for a specific file path (path key is canonicalized)."
"snapshot.trackedFileBackups.{path}.backupFileName",1632,3.607188,"Tracked backup metadata for a specific file path (path key is canonicalized)."
"snapshot.trackedFileBackups.{path}.backupTime",1632,3.607188,"Tracked backup metadata for a specific file path (path key is canonicalized)."
"snapshot.trackedFileBackups.{path}.version",1632,3.607188,"Tracked backup metadata for a specific file path (path key is canonicalized)."
"permissionMode",1571,3.472360,"Permission mode in effect for user action."
"level",1441,3.185023,"Severity/suggestion level for system events."
"todos",1422,3.143028,"Todo list captured on user records."
"message.content[].input.file_path",1420,3.138607,"Tool invocation input payload (shape varies by tool)."
"thinkingMetadata",1399,3.092191,"Reasoning mode metadata for a user request."
"thinkingMetadata.maxThinkingTokens",1385,3.061247,"Reasoning mode metadata for a user request."
"hasOutput",1384,3.059037,"Whether a hook produced output."
"hookCount",1384,3.059037,"Count of hooks involved in a summary event."
"hookErrors",1384,3.059037,"Hook error list."
"hookInfos",1384,3.059037,"Hook execution metadata list."
"hookInfos[].command",1384,3.059037,"Hook execution metadata list."
"preventedContinuation",1384,3.059037,"Whether a hook prevented continuation."
"stopReason",1384,3.059037,"Stop reason summary for stop-hook system messages."
"data.message.message.content[].content",1201,2.654554,"Embedded message record within progress events."
"data.message.message.content[].id",1201,2.654554,"Embedded message record within progress events."
"data.message.message.content[].input",1201,2.654554,"Embedded message record within progress events."
"data.message.message.content[].name",1201,2.654554,"Embedded message record within progress events."
"data.message.message.content[].tool_use_id",1201,2.654554,"Embedded message record within progress events."
"data.message.message.context_management",1201,2.654554,"Embedded message record within progress events."
"data.message.message.id",1201,2.654554,"Embedded message record within progress events."
"data.message.message.model",1201,2.654554,"Embedded message record within progress events."
"data.message.message.stop_reason",1201,2.654554,"Embedded message record within progress events."
"data.message.message.stop_sequence",1201,2.654554,"Embedded message record within progress events."
"data.message.message.type",1201,2.654554,"Embedded message record within progress events."
"data.message.message.usage",1201,2.654554,"Embedded message record within progress events."
"data.message.message.usage.cache_creation",1201,2.654554,"Embedded message record within progress events."
"data.message.message.usage.cache_creation.ephemeral_1h_input_tokens",1201,2.654554,"Embedded message record within progress events."
"data.message.message.usage.cache_creation.ephemeral_5m_input_tokens",1201,2.654554,"Embedded message record within progress events."
"data.message.message.usage.cache_creation_input_tokens",1201,2.654554,"Embedded message record within progress events."
"data.message.message.usage.cache_read_input_tokens",1201,2.654554,"Embedded message record within progress events."
"data.message.message.usage.input_tokens",1201,2.654554,"Embedded message record within progress events."
"data.message.message.usage.output_tokens",1201,2.654554,"Embedded message record within progress events."
"data.message.message.usage.service_tier",1201,2.654554,"Embedded message record within progress events."
"data.message.requestId",1201,2.654554,"Embedded message record within progress events."
"data.message.message.usage.inference_geo",1165,2.574984,"Embedded message record within progress events."
"message.content[].signature",1116,2.466680,"Signature metadata for thinking blocks."
"message.content[].thinking",1116,2.466680,"Model reasoning/thinking text block."
"message.usage.server_tool_use",1093,2.415843,"Token/service usage accounting for this assistant message."
"message.usage.server_tool_use.web_fetch_requests",1093,2.415843,"Token/service usage accounting for this assistant message."
"message.usage.server_tool_use.web_search_requests",1093,2.415843,"Token/service usage accounting for this assistant message."
"operation",1049,2.318591,"Queue operation type (enqueue, dequeue, remove, popAll)."
"toolUseResult.noOutputExpected",1021,2.256703,"Serialized local tool execution result payload."
"data.message.message.content[].caller",988,2.183763,"Embedded message record within progress events."
"data.message.message.content[].caller.type",988,2.183763,"Embedded message record within progress events."
"content",787,1.739496,"Auto-generated: field content in path content."
"toolUseResult.type",729,1.611299,"Serialized local tool execution result payload."
"toolUseResult.filePath",706,1.560462,"Serialized local tool execution result payload."
"toolUseResult.originalFile",697,1.540570,"Serialized local tool execution result payload."
"toolUseResult.structuredPatch",697,1.540570,"Serialized local tool execution result payload."
"message.content[].input.new_string",674,1.489733,"Tool invocation input payload (shape varies by tool)."
"message.content[].input.old_string",674,1.489733,"Tool invocation input payload (shape varies by tool)."
"message.content[].input.replace_all",674,1.489733,"Tool invocation input payload (shape varies by tool)."
"toolUseResult.file",671,1.483102,"Serialized local tool execution result payload."
"toolUseResult.file.content",671,1.483102,"Serialized local tool execution result payload."
"toolUseResult.file.filePath",671,1.483102,"Serialized local tool execution result payload."
"toolUseResult.file.numLines",671,1.483102,"Serialized local tool execution result payload."
"toolUseResult.file.startLine",671,1.483102,"Serialized local tool execution result payload."
"toolUseResult.file.totalLines",671,1.483102,"Serialized local tool execution result payload."
"message.usage.iterations",666,1.472051,"Token/service usage accounting for this assistant message."
"toolUseResult.structuredPatch[].lines",666,1.472051,"Serialized local tool execution result payload."
"toolUseResult.structuredPatch[].newLines",666,1.472051,"Serialized local tool execution result payload."
"toolUseResult.structuredPatch[].newStart",666,1.472051,"Serialized local tool execution result payload."
"toolUseResult.structuredPatch[].oldLines",666,1.472051,"Serialized local tool execution result payload."
"toolUseResult.structuredPatch[].oldStart",666,1.472051,"Serialized local tool execution result payload."
"toolUseResult.newString",639,1.412373,"Serialized local tool execution result payload."
"toolUseResult.oldString",639,1.412373,"Serialized local tool execution result payload."
"toolUseResult.replaceAll",639,1.412373,"Serialized local tool execution result payload."
"toolUseResult.userModified",639,1.412373,"Serialized local tool execution result payload."
"message.content[].input.timeout",634,1.401322,"Tool invocation input payload (shape varies by tool)."
"message.content[].input.pattern",537,1.186924,"Tool invocation input payload (shape varies by tool)."
"isMeta",516,1.140508,"Flag indicating metadata-only user record."
"toolUseResult.filenames",511,1.129456,"Serialized local tool execution result payload."
"toolUseResult.numFiles",511,1.129456,"Serialized local tool execution result payload."
"message.content[].input.prompt",485,1.071989,"Tool invocation input payload (shape varies by tool)."
"message.content[].content[].type",478,1.056517,"Auto-generated: field type in path message.content[].content[].type."
"toolUseResult.content",477,1.054307,"Serialized local tool execution result payload."
"message.content[].content[].text",471,1.041045,"Auto-generated: field text in path message.content[].content[].text."
"message.content[].input.subagent_type",467,1.032204,"Tool invocation input payload (shape varies by tool)."
"toolUseResult.agentId",451,0.996839,"Serialized local tool execution result payload."
"toolUseResult.prompt",451,0.996839,"Serialized local tool execution result payload."
"toolUseResult.status",451,0.996839,"Serialized local tool execution result payload."
"durationMs",414,0.915059,"Auto-generated: field durationMs in path durationMs."
"message.content[].input.path",414,0.915059,"Tool invocation input payload (shape varies by tool)."
"message.content[].input.output_mode",412,0.910638,"Tool invocation input payload (shape varies by tool)."
"toolUseResult.mode",409,0.904007,"Serialized local tool execution result payload."
"message.content[].input.run_in_background",408,0.901797,"Tool invocation input payload (shape varies by tool)."
"message.content[].input.limit",390,0.862012,"Tool invocation input payload (shape varies by tool)."
"toolUseResult.description",389,0.859802,"Serialized local tool execution result payload."
"toolUseResult.isAsync",389,0.859802,"Serialized local tool execution result payload."
"toolUseResult.outputFile",389,0.859802,"Serialized local tool execution result payload."
"data.message.message.content[].input.file_path",386,0.853171,"Embedded message record within progress events."
"message.content[].input.offset",379,0.837699,"Tool invocation input payload (shape varies by tool)."
"toolUseResult.numLines",355,0.784652,"Serialized local tool execution result payload."
"data.taskId",272,0.601198,"Auto-generated: field taskId in path data.taskId."
"data.totalBytes",272,0.601198,"Auto-generated: field totalBytes in path data.totalBytes."
"data.message.message.content[].input.query",261,0.576885,"Embedded message record within progress events."
"data.message.message.content[].input.pattern",258,0.570254,"Embedded message record within progress events."
"message.content[].input.-n",215,0.475212,"Tool invocation input payload (shape varies by tool)."
"data.message.message.content[].input.path",194,0.428796,"Embedded message record within progress events."
"data.message.message.content[].is_error",177,0.391221,"Embedded message record within progress events."
"message.content[].input.model",166,0.366908,"Tool invocation input payload (shape varies by tool)."
"message.usage.speed",152,0.335964,"Token/service usage accounting for this assistant message."
"toolUseResult.success",148,0.327122,"Serialized local tool execution result payload."
"message.content[].input.taskId",141,0.311650,"Tool invocation input payload (shape varies by tool)."
"toolUseResult.taskId",141,0.311650,"Serialized local tool execution result payload."
"toolUseResult.updatedFields",141,0.311650,"Serialized local tool execution result payload."
"data.message.message.content[].input.prompt",139,0.307230,"Embedded message record within progress events."
"data.message.message.content[].input.url",139,0.307230,"Embedded message record within progress events."
"data.message.message.content[].input.output_mode",133,0.293968,"Embedded message record within progress events."
"toolUseResult.task",124,0.274076,"Serialized local tool execution result payload."
"message.content[].input.status",119,0.263024,"Tool invocation input payload (shape varies by tool)."
"toolUseResult.statusChange",119,0.263024,"Serialized local tool execution result payload."
"toolUseResult.statusChange.from",119,0.263024,"Serialized local tool execution result payload."
"toolUseResult.statusChange.to",119,0.263024,"Serialized local tool execution result payload."
"data.message.message.content[].input.command",117,0.258604,"Embedded message record within progress events."
"toolUseResult.durationMs",117,0.258604,"Serialized local tool execution result payload."
"toolUseResult.truncated",102,0.225449,"Serialized local tool execution result payload."
"data.message.message.content[].input.description",90,0.198926,"Embedded message record within progress events."
"data.message.message.content[].input.limit",77,0.170192,"Embedded message record within progress events."
"data.normalizedMessages[].message",74,0.163561,"Normalized message payload emitted by agent progress."
"data.normalizedMessages[].message.content",74,0.163561,"Normalized message payload emitted by agent progress."
"data.normalizedMessages[].message.content[].text",74,0.163561,"Normalized message payload emitted by agent progress."
"data.normalizedMessages[].message.content[].type",74,0.163561,"Normalized message payload emitted by agent progress."
"data.normalizedMessages[].message.role",74,0.163561,"Normalized message payload emitted by agent progress."
"data.normalizedMessages[].timestamp",74,0.163561,"Normalized message payload emitted by agent progress."
"data.normalizedMessages[].type",74,0.163561,"Normalized message payload emitted by agent progress."
"data.normalizedMessages[].uuid",74,0.163561,"Normalized message payload emitted by agent progress."
"data.message.toolUseResult",73,0.161351,"Embedded message record within progress events."
"data.normalizedMessages[].message.content[].id",72,0.159141,"Normalized message payload emitted by agent progress."
"data.normalizedMessages[].message.content[].input",72,0.159141,"Normalized message payload emitted by agent progress."
"data.normalizedMessages[].message.content[].input.pattern",72,0.159141,"Normalized message payload emitted by agent progress."
"data.normalizedMessages[].message.content[].name",72,0.159141,"Normalized message payload emitted by agent progress."
"data.normalizedMessages[].message.context_management",72,0.159141,"Normalized message payload emitted by agent progress."
"data.normalizedMessages[].message.id",72,0.159141,"Normalized message payload emitted by agent progress."
"data.normalizedMessages[].message.model",72,0.159141,"Normalized message payload emitted by agent progress."
"data.normalizedMessages[].message.stop_reason",72,0.159141,"Normalized message payload emitted by agent progress."
"data.normalizedMessages[].message.stop_sequence",72,0.159141,"Normalized message payload emitted by agent progress."
"data.normalizedMessages[].message.type",72,0.159141,"Normalized message payload emitted by agent progress."
"data.normalizedMessages[].message.usage",72,0.159141,"Normalized message payload emitted by agent progress."
"data.normalizedMessages[].message.usage.cache_creation",72,0.159141,"Normalized message payload emitted by agent progress."
"data.normalizedMessages[].message.usage.cache_creation.ephemeral_1h_input_tokens",72,0.159141,"Normalized message payload emitted by agent progress."
"data.normalizedMessages[].message.usage.cache_creation.ephemeral_5m_input_tokens",72,0.159141,"Normalized message payload emitted by agent progress."
"data.normalizedMessages[].message.usage.cache_creation_input_tokens",72,0.159141,"Normalized message payload emitted by agent progress."
"data.normalizedMessages[].message.usage.cache_read_input_tokens",72,0.159141,"Normalized message payload emitted by agent progress."
"data.normalizedMessages[].message.usage.input_tokens",72,0.159141,"Normalized message payload emitted by agent progress."
"data.normalizedMessages[].message.usage.output_tokens",72,0.159141,"Normalized message payload emitted by agent progress."
"data.normalizedMessages[].message.usage.service_tier",72,0.159141,"Normalized message payload emitted by agent progress."
"data.normalizedMessages[].requestId",72,0.159141,"Normalized message payload emitted by agent progress."
"data.message.message.content[].text",70,0.154720,"Embedded message record within progress events."
"message.content[].input.task_id",68,0.150299,"Tool invocation input payload (shape varies by tool)."
"message.content[].input.glob",66,0.145879,"Tool invocation input payload (shape varies by tool)."
"message.content[].input.subject",65,0.143669,"Tool invocation input payload (shape varies by tool)."
"message.content[].input.activeForm",64,0.141458,"Tool invocation input payload (shape varies by tool)."
"message.content[].input.block",64,0.141458,"Tool invocation input payload (shape varies by tool)."
"message.content[].input.content",64,0.141458,"Tool invocation input payload (shape varies by tool)."
"toolUseResult.task.id",63,0.139248,"Serialized local tool execution result payload."
"toolUseResult.task.subject",63,0.139248,"Serialized local tool execution result payload."
"data.normalizedMessages[].message.content[].content",62,0.137038,"Normalized message payload emitted by agent progress."
"data.normalizedMessages[].message.content[].tool_use_id",62,0.137038,"Normalized message payload emitted by agent progress."
"toolUseResult.totalDurationMs",62,0.137038,"Serialized local tool execution result payload."
"toolUseResult.totalTokens",62,0.137038,"Serialized local tool execution result payload."
"toolUseResult.totalToolUseCount",62,0.137038,"Serialized local tool execution result payload."
"toolUseResult.usage",62,0.137038,"Serialized local tool execution result payload."
"toolUseResult.usage.cache_creation",62,0.137038,"Serialized local tool execution result payload."
"toolUseResult.usage.cache_creation.ephemeral_1h_input_tokens",62,0.137038,"Serialized local tool execution result payload."
"toolUseResult.usage.cache_creation.ephemeral_5m_input_tokens",62,0.137038,"Serialized local tool execution result payload."
"toolUseResult.usage.cache_creation_input_tokens",62,0.137038,"Serialized local tool execution result payload."
"toolUseResult.usage.cache_read_input_tokens",62,0.137038,"Serialized local tool execution result payload."
"toolUseResult.usage.input_tokens",62,0.137038,"Serialized local tool execution result payload."
"toolUseResult.usage.output_tokens",62,0.137038,"Serialized local tool execution result payload."
"toolUseResult.usage.service_tier",62,0.137038,"Serialized local tool execution result payload."
"toolUseResult.content[].text",61,0.134827,"Serialized local tool execution result payload."
"toolUseResult.content[].type",61,0.134827,"Serialized local tool execution result payload."
"toolUseResult.retrieval_status",61,0.134827,"Serialized local tool execution result payload."
"toolUseResult.task.description",61,0.134827,"Serialized local tool execution result payload."
"toolUseResult.task.output",61,0.134827,"Serialized local tool execution result payload."
"toolUseResult.task.status",61,0.134827,"Serialized local tool execution result payload."
"toolUseResult.task.task_id",61,0.134827,"Serialized local tool execution result payload."
"toolUseResult.task.task_type",61,0.134827,"Serialized local tool execution result payload."
"toolUseResult.usage.server_tool_use",60,0.132617,"Serialized local tool execution result payload."
"toolUseResult.usage.server_tool_use.web_fetch_requests",60,0.132617,"Serialized local tool execution result payload."
"toolUseResult.usage.server_tool_use.web_search_requests",60,0.132617,"Serialized local tool execution result payload."
"data.normalizedMessages[].message.content[].input.type",57,0.125986,"Normalized message payload emitted by agent progress."
"compactMetadata",56,0.123776,"Auto-generated: field compactMetadata in path compactMetadata."
"compactMetadata.preTokens",56,0.123776,"Auto-generated: field preTokens in path compactMetadata.preTokens."
"compactMetadata.trigger",56,0.123776,"Auto-generated: field trigger in path compactMetadata.trigger."
"data.message.message.content[].input.offset",56,0.123776,"Embedded message record within progress events."
"isCompactSummary",56,0.123776,"Auto-generated: field isCompactSummary in path isCompactSummary."
"isVisibleInTranscriptOnly",56,0.123776,"Auto-generated: field isVisibleInTranscriptOnly in path isVisibleInTranscriptOnly."
"logicalParentUuid",56,0.123776,"Auto-generated: field logicalParentUuid in path logicalParentUuid."
"data.normalizedMessages[].message.content[].input.command",49,0.108304,"Normalized message payload emitted by agent progress."
"data.normalizedMessages[].message.content[].input.description",49,0.108304,"Normalized message payload emitted by agent progress."
"toolUseResult.task.prompt",49,0.108304,"Serialized local tool execution result payload."
"toolUseResult.task.result",49,0.108304,"Serialized local tool execution result payload."
"data.normalizedMessages[].message.content[].input.file_path",46,0.101673,"Normalized message payload emitted by agent progress."
"data.message.message.content[].input.new_string",43,0.095042,"Embedded message record within progress events."
"data.message.message.content[].input.old_string",43,0.095042,"Embedded message record within progress events."
"data.message.message.content[].input.replace_all",43,0.095042,"Embedded message record within progress events."
"data.normalizedMessages[].message.content[].is_error",43,0.095042,"Normalized message payload emitted by agent progress."
"data.normalizedMessages[].message.content[].input.path",42,0.092832,"Normalized message payload emitted by agent progress."
"data.serverName",42,0.092832,"Auto-generated: field serverName in path data.serverName."
"data.status",42,0.092832,"Auto-generated: field status in path data.status."
"data.toolName",42,0.092832,"Auto-generated: field toolName in path data.toolName."
"message.content[].input.-A",39,0.086201,"Tool invocation input payload (shape varies by tool)."
"message.content[].input.-C",38,0.083991,"Tool invocation input payload (shape varies by tool)."
"message.content[].input.-i",36,0.079570,"Tool invocation input payload (shape varies by tool)."
"data.taskDescription",35,0.077360,"Auto-generated: field taskDescription in path data.taskDescription."
"data.taskType",35,0.077360,"Auto-generated: field taskType in path data.taskType."
"data.message.message.content[].input.-n",34,0.075150,"Embedded message record within progress events."
"toolUseResult.usage.inference_geo",33,0.072939,"Serialized local tool execution result payload."
"toolUseResult.usage.iterations",33,0.072939,"Serialized local tool execution result payload."
"message.content[].input.context",28,0.061888,"Tool invocation input payload (shape varies by tool)."
"toolUseResult.backgroundTaskId",26,0.057467,"Serialized local tool execution result payload."
"data.message.message.content[].input.taskId",22,0.048626,"Embedded message record within progress events."
"data.elapsedTimeMs",21,0.046416,"Auto-generated: field elapsedTimeMs in path data.elapsedTimeMs."
"data.normalizedMessages[].message.content[].input.head_limit",21,0.046416,"Normalized message payload emitted by agent progress."
"message.content[].input.crate_name",21,0.046416,"Tool invocation input payload (shape varies by tool)."
"message.content[].input.version",21,0.046416,"Tool invocation input payload (shape varies by tool)."
"imagePasteIds",20,0.044206,"Auto-generated: field imagePasteIds in path imagePasteIds."
"message.content[].source",20,0.044206,"Auto-generated: field source in path message.content[].source."
"message.content[].source.data",20,0.044206,"Auto-generated: field data in path message.content[].source.data."
"message.content[].source.media_type",20,0.044206,"Auto-generated: field media_type in path message.content[].source.media_type."
"message.content[].source.type",20,0.044206,"Auto-generated: field type in path message.content[].source.type."
"prNumber",20,0.044206,"Pull request number referenced by session metadata."
"prRepository",20,0.044206,"Repository slug for PR metadata."
"prUrl",20,0.044206,"Pull request URL referenced by session metadata."
"toolUseResult[].text",20,0.044206,"Serialized local tool execution result payload."
"toolUseResult[].type",20,0.044206,"Serialized local tool execution result payload."
"message.content[].input.addBlockedBy",19,0.041995,"Tool invocation input payload (shape varies by tool)."
"message.content[].input.query",18,0.039785,"Tool invocation input payload (shape varies by tool)."
"message.content[].input.url",18,0.039785,"Tool invocation input payload (shape varies by tool)."
"toolUseResult.returnCodeInterpretation",18,0.039785,"Serialized local tool execution result payload."
"data.message.message.content[].input.glob",17,0.037575,"Embedded message record within progress events."
"data.resume",17,0.037575,"Auto-generated: field resume in path data.resume."
"toolUseResult.query",17,0.037575,"Serialized local tool execution result payload."
"toolUseResult.usage.speed",17,0.037575,"Serialized local tool execution result payload."
"data.message.message.content[].input.status",16,0.035365,"Embedded message record within progress events."
"data.normalizedMessages[].message.content[].input.output_mode",15,0.033154,"Normalized message payload emitted by agent progress."
"toolUseResult.bytes",15,0.033154,"Serialized local tool execution result payload."
"toolUseResult.code",15,0.033154,"Serialized local tool execution result payload."
"toolUseResult.codeText",15,0.033154,"Serialized local tool execution result payload."
"toolUseResult.result",15,0.033154,"Serialized local tool execution result payload."
"toolUseResult.url",15,0.033154,"Serialized local tool execution result payload."
"data.message.message.content[].input.-C",14,0.030944,"Embedded message record within progress events."
"message.content[].input.head_limit",14,0.030944,"Tool invocation input payload (shape varies by tool)."
"thinkingMetadata.disabled",14,0.030944,"Reasoning mode metadata for a user request."
"thinkingMetadata.level",14,0.030944,"Reasoning mode metadata for a user request."
"thinkingMetadata.triggers",14,0.030944,"Reasoning mode metadata for a user request."
"toolUseResult.appliedLimit",14,0.030944,"Serialized local tool execution result payload."
"message.content[].input.-B",13,0.028734,"Tool invocation input payload (shape varies by tool)."
"message.content[].input.plan",13,0.028734,"Tool invocation input payload (shape varies by tool)."
"toolUseResult.canReadOutputFile",13,0.028734,"Serialized local tool execution result payload."
"data.query",12,0.026523,"Auto-generated: field query in path data.query."
"toolUseResult.message",12,0.026523,"Serialized local tool execution result payload."
"toolUseResult.task.exitCode",12,0.026523,"Serialized local tool execution result payload."
"data.message.message.content[].input.type",11,0.024313,"Embedded message record within progress events."
"message.content[].input.item_id",10,0.022103,"Tool invocation input payload (shape varies by tool)."
"message.content[].input.questions",10,0.022103,"Tool invocation input payload (shape varies by tool)."
"message.content[].input.questions[].header",10,0.022103,"Tool invocation input payload (shape varies by tool)."
"message.content[].input.questions[].multiSelect",10,0.022103,"Tool invocation input payload (shape varies by tool)."
"message.content[].input.questions[].options",10,0.022103,"Tool invocation input payload (shape varies by tool)."
"message.content[].input.questions[].options[].description",10,0.022103,"Tool invocation input payload (shape varies by tool)."
"message.content[].input.questions[].options[].label",10,0.022103,"Tool invocation input payload (shape varies by tool)."
"message.content[].input.questions[].question",10,0.022103,"Tool invocation input payload (shape varies by tool)."
"toolUseResult.durationSeconds",10,0.022103,"Serialized local tool execution result payload."
"toolUseResult.results",10,0.022103,"Serialized local tool execution result payload."
"toolUseResult.results[].content",10,0.022103,"Serialized local tool execution result payload."
"toolUseResult.results[].content[].title",10,0.022103,"Serialized local tool execution result payload."
"toolUseResult.results[].content[].url",10,0.022103,"Serialized local tool execution result payload."
"toolUseResult.results[].tool_use_id",10,0.022103,"Serialized local tool execution result payload."
"data.message.message.content[].input.activeForm",9,0.019893,"Embedded message record within progress events."
"data.message.message.content[].input.context",9,0.019893,"Embedded message record within progress events."
"data.message.message.content[].input.skill",9,0.019893,"Embedded message record within progress events."
"data.message.message.content[].input.subject",9,0.019893,"Embedded message record within progress events."
"data.message.message.content[].input.timeout",9,0.019893,"Embedded message record within progress events."
"toolUseResult.isAgent",9,0.019893,"Serialized local tool execution result payload."
"toolUseResult.plan",9,0.019893,"Serialized local tool execution result payload."
"message.content[].input.todos",8,0.017682,"Tool invocation input payload (shape varies by tool)."
"message.content[].input.todos[].activeForm",8,0.017682,"Tool invocation input payload (shape varies by tool)."
"message.content[].input.todos[].content",8,0.017682,"Tool invocation input payload (shape varies by tool)."
"message.content[].input.todos[].status",8,0.017682,"Tool invocation input payload (shape varies by tool)."
"message.content[].input.type",8,0.017682,"Tool invocation input payload (shape varies by tool)."
"message.context_management",8,0.017682,"Auto-generated: field context_management in path message.context_management."
"toolUseResult.newTodos",8,0.017682,"Serialized local tool execution result payload."
"toolUseResult.newTodos[].activeForm",8,0.017682,"Serialized local tool execution result payload."
"toolUseResult.newTodos[].content",8,0.017682,"Serialized local tool execution result payload."
"toolUseResult.newTodos[].status",8,0.017682,"Serialized local tool execution result payload."
"toolUseResult.oldTodos",8,0.017682,"Serialized local tool execution result payload."
"data.message.message.content[].input.head_limit",7,0.015472,"Embedded message record within progress events."
"isApiErrorMessage",7,0.015472,"Auto-generated: field isApiErrorMessage in path isApiErrorMessage."
"message.container",7,0.015472,"Auto-generated: field container in path message.container."
"message.content[].content[].tool_name",7,0.015472,"Auto-generated: field tool_name in path message.content[].content[].tool_name."
"message.content[].input.max_results",7,0.015472,"Tool invocation input payload (shape varies by tool)."
"message.content[].input.skill",7,0.015472,"Tool invocation input payload (shape varies by tool)."
